Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Ulmaceae,Ulmus glabra,Alm,Alm,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ulmus_glabra.jpg/500px-Ulmus_glabra.jpg,https://no.wikipedia.org/wiki/Alm,FUNNET
Fabaceae,Trifolium hybridum,Kløver,Alsikekløver,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Trifolium_hybridum_inflorescence_-_Keila.jpg/500px-Trifolium_hybridum_inflorescence_-_Keila.jpg,https://en.wikipedia.org/wiki/Trifolium_hybridum,FUNNET
Oleaceae,Fraxinus excelsior,Ask,Ask,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Illustration_Fraxinus_excelsior1.jpg/500px-Illustration_Fraxinus_excelsior1.jpg,https://no.wikipedia.org/wiki/Ask,FUNNET
Crassulaceae,Sedum acre,Begknapp,Bitterbegknapp,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg/500px-Sedum_acre_single_-_Niitv%C3%A4lja.jpg,https://no.wikipedia.org/wiki/Bitterbergknapp,FUNNET
Betulaceae,Betula pendula,Bjørk,Bjørk,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Betula_pubescens_ssp_glutinosa_bluete.jpeg/500px-Betula_pubescens_ssp_glutinosa_bluete.jpeg,https://no.wikipedia.org/wiki/Vanlig_bj%C3%B8rk,FUNNET
Rosaceae,Rubus fruticosus,Bjørnebær,Bjørnebær,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Brombeere_0815-23.jpg/500px-Brombeere_0815-23.jpg,https://no.wikipedia.org/wiki/Bj%C3%B8rneb%C3%A6r,FUNNET
Geraniaceae,Geranium sanguineum,Storkenebb,Blodstorkenebb,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/%28MHNT%29_Geranium_sanguineum_-_Flower_and_leaf_-_Les_Martels%2C_Giroussens_Tarn.jpg/500px-%28MHNT%29_Geranium_sanguineum_-_Flower_and_leaf_-_Les_Martels%2C_Giroussens_Tarn.jpg,https://no.wikipedia.org/wiki/Blodstorkenebb,FUNNET
Ericaceae,Vaccinium uliginosum,Bær,Blokkebær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Vaccinium_uliginosum_fruit.jpg/500px-Vaccinium_uliginosum_fruit.jpg,https://no.wikipedia.org/wiki/Blokkeb%C3%A6r,FUNNET
Ericaceae,Vaccinium myrtillus,Bær,Blåbær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/VACCINIUM_MIRTYLLUS_-_CABDELLA_-_IB-120.JPG/500px-VACCINIUM_MIRTYLLUS_-_CABDELLA_-_IB-120.JPG,https://no.wikipedia.org/wiki/Bl%C3%A5b%C3%A6r,FUNNET
Campanulaceae,Campanula rotundifolia,Klokke,Blåklokke,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Campanula_rotundifolia1.jpg/500px-Campanula_rotundifolia1.jpg,https://no.wikipedia.org/wiki/Bl%C3%A5klokke,FUNNET
