Norsk navn,Latinsk navn,Familie,Type,bilde_url,norskflora_url,bilde_status
Aksveronika,Veronica spicata,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Veronica&art=spicata,https://bilder.norskflora.no/orig/floradanica_0052.jpg,FUNNET,
Alm,Ulmus glabra,Almefamilien,Tre/busk,https://norskflora.no/plante/?sle=Ulmus&art=glabra,https://bilder.norskflora.no/orig/mentzii366.jpg,FUNNET,
Alperips,Ribes alpinum,Ripsfamilien,Tre/busk,https://norskflora.no/plante/?sle=Ribes&art=alpinum,https://bilder.norskflora.no/orig/mentzii282.jpg,FUNNET,
Ask,Fraxinus excelsior,Oliventrefamilien,Tre/busk,https://norskflora.no/plante/?sle=Fraxinus&art=excelsior,https://bilder.norskflora.no/orig/mentzi74.jpg,FUNNET,
Bakketimian,Thymus pulegioides,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Thymus&art=pulegioides,https://bilder.norskflora.no/orig/floradanica_2237.jpg,FUNNET,
Ballblom,Trollius europaeus,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Trollius&art=europaeus,https://bilder.norskflora.no/orig/mentzi175.jpg,FUNNET,
Barlind,Taxus baccata,Barlindfamilien,Tre/busk,https://norskflora.no/plante/?sle=Taxus&art=baccata,https://bilder.norskflora.no/orig/mentzii498.jpg,FUNNET,
Bekkeblom,Caltha palustris,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Caltha&art=palustris,https://bilder.norskflora.no/orig/mentzi174.jpg,FUNNET,
Bendelløk,Allium scorodoprasum,Løkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Allium&art=scorodoprasum,https://bilder.norskflora.no/orig/floradanica_0290.jpg,FUNNET,
Bergasal,Aria rupicola,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Aria&art=rupicola,https://bilder.norskflora.no/orig/unimus_arirup.jpg,FUNNET,
Bergflette,Hedera helix,Bergflettefamilien,Tre/busk,https://norskflora.no/plante/?sle=Hedera&art=helix,https://bilder.norskflora.no/orig/mentzi249.jpg,FUNNET,
Bergfrue,Saxifraga cotyledon,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=cotyledon,https://bilder.norskflora.no/orig/mentziv611.jpg,FUNNET,
Bergrørkvein,Calamagrostis epigejos,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Calamagrostis&art=epigejos,https://bilder.norskflora.no/orig/floradanica_2165.jpg,FUNNET,
Bergsvineblom,Senecio sylvaticus,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Senecio&art=sylvaticus,https://bilder.norskflora.no/orig/floradanica_0869.jpg,FUNNET,
Bitterbergknapp,Sedum acre,Bergknappfamilien,Urt/staude,https://no.wikipedia.org/wiki/Bitterbergknapp,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg/500px-Sedum_acre_single_-_Niitv%C3%A4lja.jpg,FUNNET,
Bjørk,Betula pubescens,Bjørkefamilien,Tre/busk,https://no.wikipedia.org/wiki/Bj%C3%B8rkeslekten,https://bilder.norskflora.no/orig/IMG_5388.jpg,FUNNET,
Bjørnebær,Rubus fruticosus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=fruticosus,https://bilder.norskflora.no/orig/mentzii307.jpg,FUNNET,
Bjørnekam,Blechnum spicant,Bjørnekamfamilien,Bregne,https://norskflora.no/plante/?sle=Blechnum&art=spicant,https://bilder.norskflora.no/orig/mentzii507.jpg,FUNNET,
Bleiksøte,Gentianella aurea,Søterotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Gentianella&art=aurea,https://bilder.norskflora.no/orig/floradanica_0344.jpg,FUNNET,
Bleikvier,Salix hastata,Vierfamilien,Tre/busk,https://no.wikipedia.org/wiki/Bleikvier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Illustration_Salix_hastata0.jpg/500px-Illustration_Salix_hastata0.jpg,FUNNET,
Blodstorkenebb,Geranium sanguineum,Storkenebbfamilien,Urt/staude,https://norskflora.no/plante/?sle=Geranium&art=sanguineum,https://bilder.norskflora.no/orig/mentziv598.jpg,FUNNET,
Blodtopp,Sanguisorba officinalis,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Sanguisorba&art=officinalis,https://bilder.norskflora.no/orig/mentzii296.jpg,FUNNET,
Blokkebær,Vaccinium uliginosum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=uliginosum,https://bilder.norskflora.no/orig/mentzi142.jpg,FUNNET,
Blåbringebær,Rubus caesius,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=caesius,https://bilder.norskflora.no/orig/mentzii308.jpg,FUNNET,
Blåbær,Vaccinium myrtillus,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=myrtillus,https://bilder.norskflora.no/orig/IMG_1390.jpg,FUNNET,
Blåklokke,Campanula rotundifolia,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=rotundifolia,https://bilder.norskflora.no/orig/mentzi53.jpg,FUNNET,
Blåknapp,Succisa pratensis,Kardeborrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Succisa&art=pratensis,https://bilder.norskflora.no/orig/IMG_4428.jpg,FUNNET,
Blåkoll,Prunella vulgaris,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Prunella&art=vulgaris,https://bilder.norskflora.no/orig/mentzi101.jpg,FUNNET,
Blålyng,Phyllodoce caerulea,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Phyllodoce&art=caerulea,https://bilder.norskflora.no/orig/mentzi149.jpg,FUNNET,
Blåtopp,Molinia caerulea,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Molinia&art=caerulea,https://bilder.norskflora.no/orig/mentzii456.jpg,FUNNET,
Blåveis,Hepatica nobilis,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Hepatica&art=nobilis,https://bilder.norskflora.no/orig/IMG_5847.jpg,FUNNET,
Bondekål,Brassica rapa,Korsblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Brassica&art=rapa,https://bilder.norskflora.no/orig/floradanica_2779.jpg,FUNNET,
Breddunkjevle,Typha latifolia,Dunkjevlefamilien,Gressplante,https://norskflora.no/plante/?sle=Typha&art=latifolia,https://bilder.norskflora.no/orig/mentzii493.jpg,FUNNET,
Bringebær,Rubus idaeus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=idaeus,https://bilder.norskflora.no/orig/mentzii306.jpg,FUNNET,
Broddtelg,Dryopteris carthusiana,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Dryopteris&art=carthusiana,https://bilder.norskflora.no/orig/floradanica_0707.jpg,FUNNET,
Brudelys,Butomus umbellatus,Brudelysfamilien,Urt/staude,https://norskflora.no/plante/?sle=Butomus&art=umbellatus,https://bilder.norskflora.no/orig/mentzii483.jpg,FUNNET,
Bukkebeinurt,Ononis arvensis,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Ononis&art=arvensis,https://bilder.norskflora.no/orig/floradanica_1584.jpg,FUNNET,
Bukkeblad,Menyanthes trifoliata,Bukkebladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Menyanthes&art=trifoliata,https://bilder.norskflora.no/orig/mentzi79.jpg,FUNNET,
Bulmeurt,Hyoscyamus niger,Søtvierfamilien,Urt/staude,https://norskflora.no/plante/?sle=Hyoscyamus&art=niger,https://bilder.norskflora.no/orig/mentzi110.jpg,FUNNET,
Burot,Artemisia vulgaris,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Artemisia&art=vulgaris,https://bilder.norskflora.no/orig/mentzi18.jpg,FUNNET,
Bustnype,Rosa mollis,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=mollis,https://bilder.norskflora.no/orig/mentzii291.jpg,FUNNET,
Bøk,Fagus sylvatica,Bøkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Fagus&art=sylvatica,https://bilder.norskflora.no/orig/mentzii367.jpg,FUNNET,
Dikesoldogg,Drosera intermedia,Soldoggfamilien,Urt/staude,https://norskflora.no/plante/?sle=Drosera&art=intermedia,https://bilder.norskflora.no/orig/floradanica_2108.jpg,FUNNET,
Doggpil,Salix daphnoides,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=daphnoides,https://bilder.norskflora.no/orig/floradanica_2919.jpg,FUNNET,
Dragehode,Dracocephalum ruyschiana,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Dracocephalum&art=ruyschiana,https://bilder.norskflora.no/orig/floradanica_0121.jpg,FUNNET,
Dunkjempe,Plantago media,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Plantago&art=media,https://bilder.norskflora.no/orig/mentzi128.jpg,FUNNET,
Dvergbjørk,Betula nana,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Betula&art=nana,https://bilder.norskflora.no/orig/mentzii372.jpg,FUNNET,
Dvergmispel,Cotoneaster integerrimus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Cotoneaster&art=integerrimus,https://bilder.norskflora.no/orig/mentzii287.jpg,FUNNET,
Einer,Juniperus communis,Sypressfamilien,Tre/busk,https://norskflora.no/plante/?sle=Juniperus&art=communis,https://bilder.norskflora.no/orig/mentzii497.jpg,FUNNET,
Engforglemmegei,Myosotis scorpioides,Rubladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Myosotis&art=scorpioides,https://bilder.norskflora.no/orig/mentzi81.jpg,FUNNET,
Enghumleblom,Geum rivale,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Geum&art=rivale,https://bilder.norskflora.no/orig/mentzii304.jpg,FUNNET,
Engknoppurt,Centaurea jacea,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Centaurea&art=jacea,https://bilder.norskflora.no/orig/floradanica_0519.jpg,FUNNET,
