norsk_navn,latinsk_navn,familie,type,norskflora_url,wikipedia_url,wikipedia_image_url,wikipedia_image_file,wikipedia_status
Aksveronika,Veronica spicata,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Veronica&art=spicata,https://en.wikipedia.org/wiki/Veronica_spicata,https://upload.wikimedia.org/wikipedia/commons/b/bb/Bombus_norvegicus_-_Veronica_spicata_-_Keila.jpg,,FUNNET
Alm,Ulmus glabra,Almefamilien,Tre/busk,https://norskflora.no/plante/?sle=Ulmus&art=glabra,https://en.wikipedia.org/wiki/Ulmus_glabra,https://upload.wikimedia.org/wikipedia/commons/e/e4/RN_Ulmus_glabra_%28alnarp_sweden%29.jpg,,FUNNET
Alperips,Ribes alpinum,Ripsfamilien,Tre/busk,https://norskflora.no/plante/?sle=Ribes&art=alpinum,https://en.wikipedia.org/wiki/Ribes_alpinum,https://upload.wikimedia.org/wikipedia/commons/d/d5/Ribes_alpinum_-_berries_%28aka%29.jpg,,FUNNET
Ask,Fraxinus excelsior,Oliventrefamilien,Tre/busk,https://norskflora.no/plante/?sle=Fraxinus&art=excelsior,https://en.wikipedia.org/wiki/Fraxinus_excelsior,https://upload.wikimedia.org/wikipedia/commons/4/4f/Fraxinus_excelsior.jpg,,FUNNET
Bakketimian,Thymus pulegioides,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Thymus&art=pulegioides,https://en.wikipedia.org/wiki/Thymus_pulegioides,https://upload.wikimedia.org/wikipedia/commons/8/8c/Breitbl%C3%A4ttrige_Thymian_%28Thymus_pulegioides%29-1.jpg,,FUNNET
Ballblom,Trollius europaeus,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Trollius&art=europaeus,https://en.wikipedia.org/wiki/Trollius,https://upload.wikimedia.org/wikipedia/commons/d/d4/Trollius_europaeus_020503.jpg,,FUNNET
Barlind,Taxus baccata,Barlindfamilien,Tre/busk,https://norskflora.no/plante/?sle=Taxus&art=baccata,https://en.wikipedia.org/wiki/Taxus_baccata,https://upload.wikimedia.org/wikipedia/commons/3/31/Taxus_baccata_MHNT.jpg,,FUNNET
Bekkeblom,Caltha palustris,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Caltha&art=palustris,https://en.wikipedia.org/wiki/Caltha_palustris,https://upload.wikimedia.org/wikipedia/commons/5/5d/Caltha_palustris_plant.JPG,,FUNNET
Bendelløk,Allium scorodoprasum,Løkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Allium&art=scorodoprasum,https://en.wikipedia.org/wiki/Allium_scorodoprasum,https://upload.wikimedia.org/wikipedia/commons/9/94/Illustration_Allium_scorodoprasum_and_Allium_porrum0.jpg,,FUNNET
Bergasal,Aria rupicola,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Aria&art=rupicola,https://en.wikipedia.org/wiki/Aria_rupicola,https://upload.wikimedia.org/wikipedia/commons/4/48/Sorbus_rupicola.JPG,,FUNNET
Bergflette,Hedera helix,Bergflettefamilien,Tre/busk,https://norskflora.no/plante/?sle=Hedera&art=helix,https://en.wikipedia.org/wiki/Hedera_helix,https://upload.wikimedia.org/wikipedia/commons/5/5a/Hedera_helix_Dover.jpg,,FUNNET
Bergfrue,Saxifraga cotyledon,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=cotyledon,https://en.wikipedia.org/wiki/Saxifraga_cotyledon,https://upload.wikimedia.org/wikipedia/commons/f/f5/Bergfrue%2C_Chondrosea_cotyledon.jpg,,FUNNET
Bergrørkvein,Calamagrostis epigejos,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Calamagrostis&art=epigejos,https://en.wikipedia.org/wiki/Calamagrostis_epigejos,https://upload.wikimedia.org/wikipedia/commons/3/3b/CalamagrostisEpigejos.jpg,,FUNNET
Bergsvineblom,Senecio sylvaticus,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Senecio&art=sylvaticus,https://en.wikipedia.org/wiki/Senecio_sylvaticus,https://upload.wikimedia.org/wikipedia/commons/3/36/Starr_060929-0680_Senecio_sylvaticus.jpg,,FUNNET
Bitterbergknapp,Sedum acre,Bergknappfamilien,Urt/staude,https://norskflora.no/plante/?sle=Sedum&art=acre,https://en.wikipedia.org/wiki/Sedum_acre,https://upload.wikimedia.org/wikipedia/commons/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg,,FUNNET
Bjørk,Betula pubescens,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Betula&art=pubescens,https://en.wikipedia.org/wiki/Betula_pubescens,https://upload.wikimedia.org/wikipedia/commons/7/71/Betula_pubescens_-_Burgwald_002.jpg,,FUNNET
Bjørnebær,Rubus fruticosus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=fruticosus,https://en.wikipedia.org/wiki/Rubus_fruticosus,https://upload.wikimedia.org/wikipedia/commons/6/63/Blackberry_%28Rubus_fruticosus%29.jpg,,FUNNET
Bjørnekam,Blechnum spicant,Bjørnekamfamilien,Bregne,https://norskflora.no/plante/?sle=Blechnum&art=spicant,https://en.wikipedia.org/wiki/Struthiopteris_spicant,https://upload.wikimedia.org/wikipedia/commons/1/1e/Blechnum_spicant_%28fertile_and_sterile_fronts%29.jpg,,FUNNET
Bleiksøte,Gentianella aurea,Søterotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Gentianella&art=aurea,https://en.wikipedia.org/wiki/Gentianella_aurea,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Gentianella_aurea%2C_9982_Kongsfjord%2C_Norv%C3%A8ge_iNaturalist.jpg/500px-Gentianella_aurea%2C_9982_Kongsfjord%2C_Norv%C3%A8ge_iNaturalist.jpg,,FUNNET
Bleikvier,Salix hastata,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=hastata,https://en.wikipedia.org/wiki/Salix_hastata,https://upload.wikimedia.org/wikipedia/commons/d/db/Spie%C3%9F-Weide_%28Salix_hastata%29.jpg,,FUNNET
Blodstorkenebb,Geranium sanguineum,Storkenebbfamilien,Urt/staude,https://norskflora.no/plante/?sle=Geranium&art=sanguineum,https://en.wikipedia.org/wiki/Geranium_sanguineum,https://upload.wikimedia.org/wikipedia/commons/8/8c/2012-07-03_Bloody_Crane%27s-bill%2C_Hauxley%2C_Northumberland_1.jpg,,FUNNET
Blodtopp,Sanguisorba officinalis,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Sanguisorba&art=officinalis,https://en.wikipedia.org/wiki/Sanguisorba_officinalis,https://upload.wikimedia.org/wikipedia/commons/b/ba/Sanguisorba_officinalis.jpg,,FUNNET
Blokkebær,Vaccinium uliginosum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=uliginosum,https://en.wikipedia.org/wiki/Vaccinium_uliginosum,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vaccinium_uliginosum_fruit.jpg,,FUNNET
Blåbringebær,Rubus caesius,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=caesius,https://en.wikipedia.org/wiki/Rubus_caesius,https://upload.wikimedia.org/wikipedia/commons/9/90/P%C3%B5ldmuraka_%C3%B5is_Rubus_caesius.jpg,,FUNNET
Blåbær,Vaccinium myrtillus,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Vaccinium&art=myrtillus,https://en.wikipedia.org/wiki/Vaccinium_myrtillus,https://upload.wikimedia.org/wikipedia/commons/5/5c/203_Vaccinum_myrtillus_L.jpg,,FUNNET
Blåklokke,Campanula rotundifolia,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=rotundifolia,https://en.wikipedia.org/wiki/Campanula_rotundifolia,https://upload.wikimedia.org/wikipedia/commons/4/4b/Campanula_rotondifolia.jpg,,FUNNET
Blåknapp,Succisa pratensis,Kardeborrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Succisa&art=pratensis,https://en.wikipedia.org/wiki/Succisa_pratensis,https://upload.wikimedia.org/wikipedia/commons/e/ed/SuccisaPratensis2.jpg,,FUNNET
Blåkoll,Prunella vulgaris,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Prunella&art=vulgaris,https://en.wikipedia.org/wiki/Prunella_vulgaris,https://upload.wikimedia.org/wikipedia/commons/c/cb/Prunella_vulgaris_-_harilik_k%C3%A4bihein.jpg,,FUNNET
Blålyng,Phyllodoce caerulea,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Phyllodoce&art=caerulea,https://en.wikipedia.org/wiki/Phyllodoce_caerulea,https://upload.wikimedia.org/wikipedia/commons/6/64/Phyllodoce_caerulea_LC0329.jpg,,FUNNET
Blåtopp,Molinia caerulea,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Molinia&art=caerulea,https://en.wikipedia.org/wiki/Molinia_caerulea,https://upload.wikimedia.org/wikipedia/commons/e/e5/Molinia.jpg,,FUNNET
Blåveis,Hepatica nobilis,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Hepatica&art=nobilis,https://en.wikipedia.org/wiki/Anemone_hepatica,https://upload.wikimedia.org/wikipedia/commons/9/9b/Hepatica_nobilis_plant.JPG,,FUNNET
Bondekål,Brassica rapa,Korsblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Brassica&art=rapa,https://en.wikipedia.org/wiki/Brassica_rapa,https://upload.wikimedia.org/wikipedia/commons/d/d9/Brassica_rapa_plant.jpg,,FUNNET
Breddunkjevle,Typha latifolia,Dunkjevlefamilien,Gressplante,https://norskflora.no/plante/?sle=Typha&art=latifolia,https://en.wikipedia.org/wiki/Typha_latifolia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bulrush_%28Typha_latifolia%29_%288139113636%29.jpg,,FUNNET
Bringebær,Rubus idaeus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rubus&art=idaeus,https://en.wikipedia.org/wiki/Rubus_idaeus,https://upload.wikimedia.org/wikipedia/commons/4/4b/Fert%C5%91di_k%C3%A1rmin_m%C3%A1lna.JPG,,FUNNET
Broddtelg,Dryopteris carthusiana,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Dryopteris&art=carthusiana,https://en.wikipedia.org/wiki/Dryopteris_carthusiana,https://upload.wikimedia.org/wikipedia/commons/f/f7/Dryopteris_carthusiana1.jpg,,FUNNET
Brudelys,Butomus umbellatus,Brudelysfamilien,Urt/staude,https://norskflora.no/plante/?sle=Butomus&art=umbellatus,https://en.wikipedia.org/wiki/Butomus_umbellatus,https://upload.wikimedia.org/wikipedia/commons/3/3f/Butomus_umbellatus_-_harilik_luigelill_Keilas.jpg,,FUNNET
Bukkebeinurt,Ononis arvensis,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Ononis&art=arvensis,https://en.wikipedia.org/wiki/Ononis,https://upload.wikimedia.org/wikipedia/commons/a/af/Ononis_spinosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-230.jpg,,FUNNET
Bukkeblad,Menyanthes trifoliata,Bukkebladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Menyanthes&art=trifoliata,https://en.wikipedia.org/wiki/Menyanthes,https://upload.wikimedia.org/wikipedia/commons/c/cc/Menyanthes_trifoliata_Bukkeblad.JPG,,FUNNET
